datetime;open;high;low;close;volume
2024-09-04 15:30:00;681.125;682.25;678.81000;679.53003;207986
2024-09-04 15:00:00;680.25;681.12000;678.73798;681.12000;82460
2024-09-04 14:30:00;681.54999;682;680.050293;680.26001;72435
2024-09-04 14:00:00;680.54999;681.81500;679.88000;681.41998;45394
2024-09-04 13:30:00;680.75;682.25439;680.25;680.65002;64676
2024-09-04 13:00:00;682.50751;683.14001;680.89001;681.20001;50139
2024-09-04 12:30:00;682.98999;684.64001;681.47998;682.54999;71865
2024-09-04 12:00:00;682.60999;683.049988;681.20001;682.61499;62319
2024-09-04 11:30:00;682.21997;683.55499;680;682.40997;76262
2024-09-04 11:00:00;682.90002;684.65002;682.099976;682.16498;108463
2024-09-04 10:30:00;680.87000;683.5;680.57220;683.49500;158829
2024-09-04 10:00:00;677.81000;681.020020;673.34009;680.53003;167593
2024-09-04 09:30:00;673.31000;680.52502;673.090027;678.52002;298748
2024-09-03 15:30:00;676.42999;677.030029;671.010010;675.64001;457054
2024-09-03 15:00:00;676.64001;677.16998;675.16498;676.42999;171232
2024-09-03 14:30:00;678.19000;678.88000;676.37012;676.64001;89188
2024-09-03 14:00:00;679.72998;679.97998;676.72998;677.93500;99932
2024-09-03 13:30:00;679.73999;680.69897;678.57001;679.72998;90190
2024-09-03 13:00:00;678.27002;680.44000;677.81000;679.67871;78137
2024-09-03 12:30:00;678.84003;679.21002;677.51001;677.97998;106919
2024-09-03 12:00:00;677;681.22998;677;678.79999;114528
2024-09-03 11:30:00;678.90503;680.67999;677;677.039978;150496
2024-09-03 11:00:00;678.27002;681.17999;678.27002;678.75;173631
2024-09-03 10:30:00;687.42139;687.59998;677.25012;678.49500;296593
2024-09-03 10:00:00;693.40002;693.98181;686.46088;687.48999;215798
2024-09-03 09:30:00;701;703.34998;693.13000;694.5;353398
2024-08-30 15:30:00;696.54999;701.70001;695.91998;701.42999;572846
2024-08-30 15:00:00;696.21002;696.84003;694.78003;696.28003;100063
2024-08-30 14:30:00;695.48499;696.85291;694.87000;696.17999;76533
2024-08-30 14:00:00;694.35999;695.88000;694.00012207;695.52002;80879
2024-08-30 13:30:00;694.20001;695.69989;693.60010;694.35999;70018
2024-08-30 13:00:00;692.45148;694.81000;692.33002;694.20001;77893
2024-08-30 12:30:00;690.090027;692.84998;688.22998;692.45001;85964
2024-08-30 12:00:00;692.71002;693.27979;689.79999;690.034485;70592
2024-08-30 11:30:00;692.37000;693.14001;690.22998;692.79999;79362
2024-08-30 11:00:00;691.22998;692.62000;690.51233;692.42999;72808
2024-08-30 10:30:00;695.049988;696.81000;691.33008;691.33008;124876
2024-08-30 10:00:00;699;701.85999;693.72998;695.26001;382420
2024-08-30 09:30:00;699;699.45502;692.86670;699.40503;413481
2024-08-29 15:30:00;691.025024;693.39001;691.025024;692.85999;227743
2024-08-29 15:00:00;691.15002;691.96997;688.98999;691.015015;126534
2024-08-29 14:30:00;693.73999;693.97998;689.13000;691.15002;120884
2024-08-29 14:00:00;697.34998;697.40997;693.76001;694.38501;61708
2024-08-29 13:30:00;696.84003;697.69501;694.53998;697.69501;101622
2024-08-29 13:00:00;698.88000;699.62000;696.79999;696.96503;61602
2024-08-29 12:30:00;697.86682;699.77991;697.86682;699;81152
2024-08-29 12:00:00;697.72998;699.020020;697.32001;697.87000;72449
2024-08-29 11:30:00;697.71997;698.32990;696.00012207;697.19000;103850
2024-08-29 11:00:00;694.53998;699;694.13977;697.53998;149376
2024-08-29 10:30:00;692.57001;696.65997;691.80011;694.16998;190863
2024-08-29 10:00:00;690.90002;692.84003;688.94000;691.53998;157966
2024-08-29 09:30:00;690;692.099976;686.070007;690.39502;333966
2024-08-28 15:30:00;682.75;685.94000;682.75;683.60999;267162
2024-08-28 15:00:00;682.71997;683.21997;681.32013;682.71997;112084
2024-08-28 14:30:00;678.85999;682.65002;678.030029;682.65002;154043
2024-08-28 14:00:00;677.62000;679.14001;677.099976;678.5;132948
2024-08-28 13:30:00;683.76001;684.20001;677.65002;677.83002;108584
2024-08-28 13:00:00;683.82001;684.099976;682;683.58002;84418
2024-08-28 12:30:00;681.31409;683.96997;681.070007;683.65997;124942
2024-08-28 12:00:00;681.10999;682.71997;680.76007;681.039978;140134
2024-08-28 11:30:00;679.094971;681.099976;677.41998;680.91998;161428
2024-08-28 11:00:00;683.010010;683.010010;677.35999;678.98999;246537
2024-08-28 10:30:00;689.29999;689.46997;683.32501;683.32501;155185
2024-08-28 10:00:00;690.90997;690.90997;687.39001;689.025024;188414
2024-08-28 09:30:00;695;695.97998;690.33002;690.91998;183905
2024-08-27 15:30:00;696.53998;698.31989;695.21997;695.71997;379596
2024-08-27 15:00:00;696.96997;697.83002;696.14001;696.75;125081
2024-08-27 14:30:00;698.48499;698.48499;696.40002;696.79999;136146
2024-08-27 14:00:00;701.27002;701.59540;697.60999;698.61499;125360
2024-08-27 13:30:00;703.52002;703.85999;700.14001;701.12000;131241
2024-08-27 13:00:00;705.074707;705.72998;703.14008;703.77991;102870
2024-08-27 12:30:00;705.58087;706.70001;703.66998;705.21350;121499
2024-08-27 12:00:00;702.83002;706.5;702.24487;705.72998;141265
2024-08-27 11:30:00;705.64502;705.96002;702.33002;703.17999;157107
2024-08-27 11:00:00;705.22998;707.79498;705;705.87042;294324
